id,movieData_pl_title,streaming_netflix_internalId,rating_filmweb_internalId,rating_filmweb_title,rating_filmweb_year,rating_filmweb_type,rating_filmweb_subType,rating_filmweb_originalTitle,rating_filmweb_posterPath,rating_filmweb_value,rating_filmweb_count,rating_filmweb_wantToSee
41,Peaky Blinders,80002479,680981,Peaky Blinders,2013,serial,serial_tv,Peaky Blinders,/09/81/680981/7770961_2.$.jpg,8.55564,130755,56956
42,Kłamstwo doskonałe,80240371,821611,Kłamstwo doskonałe,2019,film,film_cinema,The Good Liar,/16/11/821611/7903342_2.$.jpg,6.56505,20476,5101
43,Dżentelmeni,81437051,817420,Dżentelmeni,2019,film,film_cinema,The Gentlemen,/74/20/817420/7908436_2.$.jpg,7.60272,80744,31198
44,Mocny temat,81600418,10048344,Mocny temat,2024,film,film_cinema,Scoop,/83/44/10048344/8119387_1.$.jpg,5.82106,3476,1154
45,Eric,81284301,10047792,Eric,2024,serial,mini_serial,Eric,/77/92/10047792/8120502_1.$.jpg,6.47451,7100,3626
46,W garniturach,70195800,585726,W garniturach,2011,serial,serial_tv,Suits,/57/26/585726/7770934_2.$.jpg,8.11087,134394,51154
47,Wypadek,81659092,10057566,Wypadek,2024,serial,serial_tv,Accidente,/75/66/10057566/8137282.$.jpg,5.54751,663,177
48,Doppelgänger. Sobowtór,81913749,10056145,Doppelganger. Sobowtór,2024,serial,mini_serial,Doppelganger. Sobowtór,,6.85165,728,269
49,Wybawienie,81582382,10016321,Wybawienie,2024,film,film_cinema,The Deliverance,/63/21/10016321/8134168.$.jpg,4.71163,2202,646
50,Detektyw Monk,70157334,95231,Detektyw Monk,2002,serial,serial_tv,Monk,/52/31/95231/7343581_1.$.jpg,7.43243,79185,6626
51,Stamtąd,81446288,10004652,Stamtąd,2022,serial,serial_tv,From,/46/52/10004652/8080256_1.$.jpg,7.39271,22378,12645
52,Emily w Paryżu,81037371,832425,Emily w Paryżu,2020,serial,serial_tv,Emily in Paris,/24/25/832425/7990601_2.$.jpg,6.22311,38581,3420
53,Problem trzech ciał,81024821,10030298,Problem trzech ciał,2024,serial,serial_tv,3 Body Problem,/02/98/10030298/8117491_1.$.jpg,6.55544,19516,10195
54,The Umbrella Academy,80186863,797238,The Umbrella Academy,2019,serial,serial_tv,The Umbrella Academy,/72/38/797238/8099931_1.$.jpg,7.31428,61204,11593
55,Wybawienie,81582382,10016321,Wybawienie,2024,film,film_cinema,The Deliverance,/63/21/10016321/8134168.$.jpg,4.71163,2202,646
56,Doppelgänger. Sobowtór,81913749,10056145,Doppelganger. Sobowtór,2024,serial,mini_serial,Doppelganger. Sobowtór,,6.85165,728,269
57,Pierwszaki,81715819,10053866,Pierwszaki,2024,film,film_cinema,Incoming,/38/66/10053866/8141267.$.jpg,5.65076,2116,307
58,Związek,81282732,10013719,Związek,2024,film,film_cinema,The Union,/37/19/10013719/8133605.$.jpg,5.03935,4828,970
59,Minionki: Wejście Gru,81198916,778537,Minionki: Wejście Gru,2022,film,film_cinema,Minions: The Rise of Gru,/85/37/778537/8020219_2.$.jpg,6.4924,16771,4172
60,Whitney Houston: I Wanna Dance with Somebody,81672780,858051,Whitney Houston: I Wanna Dance with Somebody,2022,film,film_cinema,Whitney Houston: I Wanna Dance with Somebody,/80/51/858051/8049992_2.$.jpg,6.07882,6432,1996
61,Rozpuszczeni i bezkarni,81686583,10057840,Rozpuszczeni i bezkarni,2024,film,film_cinema,Príncipes salvajes,/78/40/10057840/8141534.$.jpg,4.06215,177,49
62,W potrzasku. Belfast '71,70301585,694279,W potrzasku. Belfast '71,2014,film,film_cinema,'71,/42/79/694279/7714511_1.$.jpg,6.69647,5380,4240
